ribs_su_clay,ribs_su_LC,ribs_E_clay,ribs_E_LC,ribs_L_col,ribs_L_rib,ribs_c_rib,ribs_d_rib,Leire1_GURsUARatio,Leire1_gammaFC,Leire2_GURsUARatio,Leire2_gammaFC,Leire1_sUARef,Leire2_sUARef,FoS interim,FoS end
26.2,257.02,6300,75000,15.24,17.94,2.72,0.6,700,0.9,700,1.0,26.2,26.2,1.046,1.704
76.08,291.63,6300,75000,24.9,15.09,1.06,0.6,700,0.9,700,1.0,76.08,76.08,2.553,3.364
63.13,256.82,6300,75000,23.59,16.33,1.21,0.6,700,0.9,700,1.0,63.13,63.13,2.212,3.012
38.05,247.9,6300,75000,14.68,20.53,1.62,0.6,700,0.9,700,1.0,38.05,38.05,1.378,2.159
28.99,233.04,6300,75000,22.21,28.23,1.04,0.6,700,0.9,700,1.0,28.99,28.99,1.432,2.112
55.81,336.5,6300,75000,20.45,27.07,2.04,0.6,700,0.9,700,1.0,55.81,55.81,2.073,2.9
30.9,308.23,6300,75000,15.3,23.99,1.39,0.6,700,0.9,700,1.0,30.9,30.9,1.241,2.0
61.84,189.73,6300,75000,21.19,16.08,1.13,0.6,700,0.9,700,1.0,61.84,61.84,2.102,2.922
45.2,245.92,6300,75000,22.31,24.53,1.23,0.6,700,0.9,700,1.0,45.2,45.2,1.813,2.573
36.85,279.46,6300,75000,23.11,20.92,2.24,0.6,700,0.9,700,1.0,36.85,36.85,1.574,2.276
59.8,343.56,6300,75000,23.82,23.19,2.88,0.6,700,0.9,700,1.0,59.8,59.8,2.216,2.993
20.93,175.76,6300,75000,24.06,17.02,2.83,0.6,700,0.9,700,1.0,20.93,20.93,1.117,1.695
44.08,262.76,6300,75000,15.19,19.41,2.21,0.6,700,0.9,700,1.0,44.08,44.08,1.539,2.332
39.0,255.45,6300,75000,23.06,27.25,1.16,0.6,700,0.9,700,1.0,39.0,39.0,1.707,2.457
28.4,336.08,6300,75000,18.53,21.98,1.57,0.6,700,0.9,700,1.0,28.4,28.4,1.243,1.931
43.99,332.53,6300,75000,17.75,16.99,2.62,0.6,700,0.9,700,1.0,43.99,43.99,1.569,2.335
28.84,277.21,6300,75000,16.36,14.79,2.38,0.6,700,0.9,700,1.0,28.84,28.84,1.119,1.751
34.69,196.57,6300,75000,22.42,27.92,1.59,0.6,700,0.9,700,1.0,34.69,34.69,1.579,2.314
71.87,180.46,6300,75000,18.01,25.91,2.22,0.6,700,0.9,700,1.0,71.87,71.87,2.411,3.276
20.65,202.84,6300,75000,16.75,15.0,1.44,0.6,700,0.9,700,1.0,20.65,20.65,0.8558,
49.22,233.88,6300,75000,23.53,19.88,2.01,0.6,700,0.9,700,1.0,49.22,49.22,1.897,2.628
46.15,229.74,6300,75000,18.38,17.98,2.84,0.6,700,0.9,700,1.0,46.15,46.15,1.649,2.425
56.71,276.71,6300,75000,18.54,18.98,2.49,0.6,700,0.9,700,1.0,56.71,56.71,1.938,2.78
41.8,264.77,6300,75000,23.89,18.25,1.42,0.6,700,0.9,700,1.0,41.8,41.8,1.688,2.4
34.87,340.9,6300,75000,14.86,28.53,2.37,0.6,700,0.9,700,1.0,34.87,34.87,1.401,2.206
61.38,215.65,6300,75000,16.56,18.1,1.61,0.6,700,0.9,700,1.0,61.38,61.38,2.008,2.878
54.55,268.34,6300,75000,16.09,19.26,1.85,0.6,700,0.9,700,1.0,54.55,54.55,1.831,2.672
36.02,218.19,6300,75000,19.74,26.54,1.8,0.6,700,0.9,700,1.0,36.02,36.02,1.525,2.268
60.03,280.85,6300,75000,21.45,18.88,2.56,0.6,700,0.9,700,1.0,60.03,60.03,2.095,2.905
39.31,187.5,6300,75000,15.83,23.64,1.35,0.6,700,0.9,700,1.0,39.31,39.31,1.479,2.275
28.05,293.54,6300,75000,18.66,16.1,2.51,0.6,700,0.9,700,1.0,28.05,28.05,1.174,1.803
50.87,228.55,6300,75000,24.85,17.88,1.21,0.6,700,0.9,700,1.0,50.87,50.87,1.947,2.679
53.01,192.19,6300,75000,22.73,28.48,2.31,0.6,700,0.9,700,1.0,53.01,53.01,2.078,2.805
27.66,199.54,6300,75000,20.54,15.55,1.69,0.6,700,0.9,700,1.0,27.66,27.66,1.19317096483059,1.8214464967073
43.03,266.95,6300,75000,23.84,25.02,1.97,0.6,700,0.9,700,1.0,43.03,43.03,1.8,2.55
47.23,304.0,6300,75000,15.96,19.53,1.54,0.6,700,0.9,700,1.0,47.23,47.23,1.637,2.454
28.12,183.15,6300,75000,20.1,16.23,2.4,0.6,700,0.9,700,1.0,28.12,28.12,1.207,1.826
33.52,309.78,6300,75000,21.29,25.21,1.32,0.6,700,0.9,700,1.0,33.52,33.52,1.484,2.203
56.12,337.43,6300,75000,21.62,21.2,2.91,0.6,700,0.9,700,1.0,56.12,56.12,2.027,2.806
25.15,320.21,6300,75000,15.53,19.58,2.1,0.6,700,0.9,700,1.0,25.15,25.15,1.04,1.71
61.75,338.17,6300,75000,16.1,27.55,1.99,0.6,700,0.9,700,1.0,61.75,61.75,2.12777212557187,3.00418598833128
35.5,209.76,6300,75000,18.76,26.31,2.17,0.6,700,0.9,700,1.0,35.5,35.5,1.47880569570023,2.2466981075459
24.4,218.83,6300,75000,19.84,24.77,1.68,0.6,700,0.9,700,1.0,24.4,24.4,1.19225059498566,1.87573331112552
24.92,288.87,6300,75000,23.33,14.71,1.34,0.6,700,0.9,700,1.0,24.92,24.92,1.17986106496284,1.77259364181215
51.48,307.67,6300,75000,19.66,17.11,2.59,0.6,700,0.9,700,1.0,51.48,51.48,1.80826245408979,2.60549899942908
46.33,250.43,6300,75000,20.87,24.95,2.49,0.6,700,0.9,700,1.0,46.33,46.33,1.804,2.594
37.96,186.92,6300,75000,16.44,24.92,2.08,0.6,700,0.9,700,1.0,37.96,37.96,1.469,2.256
56.62,235.48,6300,75000,24.45,22.05,1.86,0.6,700,0.9,700,1.0,56.62,56.62,2.131,2.888
36.51,306.33,6300,75000,22.09,24.14,1.72,0.6,700,0.9,700,1.0,36.51,36.51,1.572,2.297
32.82,280.54,6300,75000,19.98,23.63,1.96,0.6,700,0.9,700,1.0,32.82,32.82,1.408,2.127
32.46,181.61,6300,75000,20.55,16.71,1.52,0.6,700,0.9,700,1.0,32.46,32.46,1.343,1.995
33.38,271.83,6300,75000,17.82,18.41,2.03,0.6,700,0.9,700,1.0,33.38,33.38,1.31,2.019
27.81,329.19,6300,75000,21.47,28.18,2.19,0.6,700,0.9,700,1.0,27.81,27.81,1.372,2.069
36.94,177.21,6300,75000,24.09,15.52,1.79,0.6,700,0.9,700,1.0,36.94,36.94,1.543,2.201
27.77,222.02,6300,75000,19.6,22.44,2.93,0.6,700,0.9,700,1.0,27.77,27.77,1.255,1.931
30.83,288.28,6300,75000,16.14,28.21,2.79,0.6,700,0.9,700,1.0,30.83,30.83,1.318,2.082
30.43,282.1,6300,75000,16.22,22.27,2.92,0.6,700,0.9,700,1.0,30.43,30.43,1.229,1.958
40.21,225.98,6300,75000,20.78,26.75,1.1,0.6,700,0.9,700,1.0,40.21,40.21,1.667,2.453
40.71,176.25,6300,75000,16.3,22.12,2.17,0.6,700,0.9,700,1.0,40.71,40.71,1.508,2.293
57.64,244.21,6300,75000,15.79,17.22,1.14,0.6,700,0.9,700,1.0,57.64,57.64,1.888,2.756
22.7,312.01,6300,75000,15.29,21.55,1.76,0.6,700,0.9,700,1.0,22.7,22.7,0.974,
35.84,197.07,6300,75000,14.62,27.53,1.41,0.6,700,0.9,700,1.0,35.84,35.84,1.407,2.219
47.98,237.5,6300,75000,15.93,16.66,2.67,0.6,700,0.9,700,1.0,47.98,47.98,1.625,2.437
30.78,320.59,6300,75000,19.56,22.49,1.15,0.6,700,0.9,700,1.0,30.78,30.78,1.344,2.012
31.55,326.61,6300,75000,23.39,21.74,1.26,0.6,700,0.9,700,1.0,31.55,31.55,1.459,2.123
42.92,181.89,6300,75000,20.83,28.95,1.94,0.6,700,0.9,700,1.0,42.92,42.92,1.766,2.561
51.04,225.47,6300,75000,22.96,28.87,2.42,0.6,700,0.9,700,1.0,51.04,51.04,2.035,2.836
32.33,272.84,6300,75000,17.88,22.47,2.15,0.6,700,0.9,700,1.0,32.33,32.33,1.328,2.059
43.79,296.13,6300,75000,14.79,16.24,1.36,0.6,700,0.9,700,1.0,43.79,43.79,1.485,2.279
43.1,302.91,6300,75000,19.72,27.38,1.69,0.6,700,0.9,700,1.0,43.1,43.1,1.725,2.507
73.66,192.06,6300,75000,16.69,23.05,2.53,0.6,700,0.9,700,1.0,73.66,73.66,2.396,3.256
43.34,274.17,6300,75000,20.47,18.61,2.78,0.6,700,0.9,700,1.0,43.34,43.34,1.635,2.384
42.98,225.28,6300,75000,20.32,26.78,2.05,0.6,700,0.9,700,1.0,42.98,42.98,1.728,2.51
33.34,195.93,6300,75000,14.59,17.68,2.08,0.6,700,0.9,700,1.0,33.34,33.34,1.217,1.953
32.18,301.67,6300,75000,24.39,26.25,2.1,0.6,700,0.9,700,1.0,32.18,32.18,1.556,2.228
51.6,316.13,6300,75000,17.66,25.1,1.47,0.6,700,0.9,700,1.0,51.6,51.6,1.862,2.712
51.62,193.69,6300,75000,19.63,19.82,2.97,0.6,700,0.9,700,1.0,51.62,51.62,1.842,2.647
39.04,338.5,6300,75000,18.48,19.5,2.95,0.6,700,0.9,700,1.0,39.04,39.04,1.483,2.229
53.13,179.9,6300,75000,19.82,20.86,2.15,0.6,700,0.9,700,1.0,53.13,53.13,1.902,2.699
37.73,325.82,6300,75000,21.98,28.66,1.01,0.6,700,0.9,700,1.0,37.73,37.73,1.661,2.423
59.59,279.14,6300,75000,19.77,17.98,2.23,0.6,700,0.9,700,1.0,59.59,59.59,2.035,2.858
32.1,202.24,6300,75000,22.53,26.28,2.2,0.6,700,0.9,700,1.0,32.1,32.1,1.495,2.173
58.35,203.18,6300,75000,16.48,21.81,1.26,0.6,700,0.9,700,1.0,58.35,58.35,1.967,2.841
38.39,224.22,6300,75000,15.91,17.15,1.73,0.6,700,0.9,700,1.0,38.39,38.39,1.38,2.121
53.29,234.18,6300,75000,20.15,19.2,1.35,0.6,700,0.9,700,1.0,53.29,53.29,1.892,2.678
24.03,278.86,6300,75000,23.68,19.72,2.04,0.6,700,0.9,700,1.0,24.03,24.03,1.226,1.849
49.92,180.64,6300,75000,20.98,17.19,2.19,0.6,700,0.9,700,1.0,49.92,49.92,1.804,2.577
44.16,177.74,6300,75000,24.65,28.15,1.65,0.6,700,0.9,700,1.0,44.16,44.16,1.896,2.575
38.46,319.82,6300,75000,24.46,14.93,1.08,0.6,700,0.9,700,1.0,38.46,38.46,1.597,2.262
43.92,348.85,6300,75000,23.66,27.19,1.92,0.6,700,0.9,700,1.0,43.92,43.92,1.848,2.606
54.04,202.31,6300,75000,15.04,18.16,1.99,0.6,700,0.9,700,1.0,54.04,54.04,1.78738605906033,2.62083787166624
46.09,243.71,6300,75000,16.71,26.49,1.22,0.6,700,0.9,700,1.0,46.09,46.09,1.71,2.553
59.36,197.49,6300,75000,17.99,26.73,2.38,0.6,700,0.9,700,1.0,59.36,59.36,2.1,2.933
36.09,230.43,6300,75000,20.96,25.28,1.67,0.6,700,0.9,700,1.0,36.09,36.09,1.542,2.264
43.81,305.58,6300,75000,19.25,23.01,1.13,0.6,700,0.9,700,1.0,43.81,43.81,1.684,2.461
53.51,210.33,6300,75000,24.33,21.03,1.06,0.6,700,0.9,700,1.0,53.51,53.51,2.031,2.762
41.26,242.39,6300,75000,23.08,18.68,2.18,0.6,700,0.9,700,1.0,41.26,41.26,1.657,2.366
68.93,182.46,6300,75000,22.05,24.37,1.83,0.6,700,0.9,700,1.0,68.93,68.93,2.415,3.249
47.52,287.84,6300,75000,17.49,23.83,2.34,0.6,700,0.9,700,1.0,47.52,47.52,1.735,2.503
43.65,235.01,6300,75000,18.27,19.13,1.2,0.6,700,0.9,700,1.0,43.65,43.65,1.597,2.375
34.64,327.81,6300,75000,24.82,17.56,1.05,0.6,700,0.9,700,1.0,34.64,34.64,1.531,2.175
46.97,193.03,6300,75000,20.9,27.72,2.05,0.6,700,0.9,700,1.0,46.97,46.97,1.859,2.654
40.01,185.82,6300,75000,17.29,20.29,1.2,0.6,700,0.9,700,1.0,40.01,40.01,1.492,2.258
33.48,277.02,6300,75000,20.73,26.6,1.53,0.6,700,0.9,700,1.0,33.48,33.48,1.483,2.221
26.02,285.95,6300,75000,20.17,18.21,2.16,0.6,700,0.9,700,1.0,26.02,26.02,1.172,1.806
47.73,298.85,6300,75000,18.7,26.13,2.05,0.6,700,0.9,700,1.0,47.73,47.73,1.8,2.634
36.76,305.27,6300,75000,24.27,27.33,1.97,0.6,700,0.9,700,1.0,36.76,36.76,1.679,2.402
39.36,218.73,6300,75000,14.57,18.45,2.5,0.6,700,0.9,700,1.0,39.36,39.36,1.388,2.131
70.94,217.74,6300,75000,17.08,24.08,1.78,0.6,700,0.9,700,1.0,70.94,70.94,2.343,3.233
52.2,206.44,6300,75000,21.48,23.06,2.99,0.6,700,0.9,700,1.0,52.2,52.2,1.951,2.745
60.23,345.58,6300,75000,18.95,28.77,2.27,0.6,700,0.9,700,1.0,60.23,60.23,2.168,3.01
25.5,274.71,6300,75000,16.54,15.8,2.21,0.6,700,0.9,700,1.0,25.5,25.5,1.041,1.664
31.17,346.45,6300,75000,18.14,22.83,1.61,0.6,700,0.9,700,1.0,31.17,31.17,1.314,1.999
52.38,178.78,6300,75000,22.34,15.3,2.47,0.6,700,0.9,700,1.0,52.38,52.38,1.896,2.625
53.64,185.43,6300,75000,24.4,25.94,2.5,0.6,700,0.9,700,1.0,53.64,53.64,2.102,2.875
37.56,192.61,6300,75000,17.25,21.17,2.06,0.6,700,0.9,700,1.0,37.56,37.56,1.436,2.294
72.1,282.83,6300,75000,21.72,21.23,2.62,0.6,700,0.9,700,1.0,72.1,72.1,2.44,3.249
65.07,303.24,6300,75000,22.97,27.5,2.77,0.6,700,0.9,700,1.0,65.07,65.07,2.385,3.207
46.9,195.36,6300,75000,14.67,21.0,2.82,0.6,700,0.9,700,1.0,46.9,46.9,1.616,2.451
51.89,266.59,6300,75000,21.54,28.1,2.64,0.6,700,0.9,700,1.0,51.89,51.89,2.013,2.824
37.59,207.32,6300,75000,21.92,25.54,2.12,0.6,700,0.9,700,1.0,37.59,37.59,1.612,2.355
46.24,283.84,6300,75000,15.55,24.54,1.27,0.6,700,0.9,700,1.0,46.24,46.24,1.666,2.482
31.23,284.07,6300,75000,19.29,22.91,2.57,0.6,700,0.9,700,1.0,31.23,31.23,1.347,2.039
54.72,187.89,6300,75000,18.61,20.44,1.33,0.6,700,0.9,700,1.0,54.72,54.72,1.911,2.699
57.25,297.55,6300,75000,16.94,26.97,2.13,0.6,700,0.9,700,1.0,57.25,57.25,2.019,2.874
35.58,261.75,6300,75000,15.4,22.2,1.91,0.6,700,0.9,700,1.0,35.58,35.58,1.349,2.113
34.19,334.22,6300,75000,24.01,20.49,2.94,0.6,700,0.9,700,1.0,34.19,34.19,1.517,2.179
27.02,265.12,6300,75000,24.68,20.31,2.36,0.6,700,0.9,700,1.0,27.02,27.02,1.343,1.964
52.49,196.21,6300,75000,24.17,20.96,1.39,0.6,700,0.9,700,1.0,52.49,52.49,2.005,2.756
25.69,284.82,6300,75000,20.36,28.89,1.74,0.6,700,0.9,700,1.0,25.69,25.69,1.291,1.997
27.16,255.56,6300,75000,14.63,23.91,1.73,0.6,700,0.9,700,1.0,27.16,27.16,1.128,1.859
28.57,223.13,6300,75000,18.82,21.53,2.98,0.6,700,0.9,700,1.0,28.57,28.57,1.242,1.914
47.14,343.84,6300,75000,22.5,21.13,1.4,0.6,700,0.9,700,1.0,47.14,47.14,1.819,2.575
82.91,330.45,6300,75000,15.19,22.51,1.71,0.6,700,0.9,700,1.0,82.91,82.91,2.59,3.491
30.05,227.63,6300,75000,19.09,27.21,1.45,0.6,700,0.9,700,1.0,30.05,30.05,1.367,2.07
37.48,280.02,6300,75000,23.75,19.91,2.94,0.6,700,0.9,700,1.0,37.48,37.48,1.585,2.288
33.87,324.11,6300,75000,17.31,24.25,2.3,0.6,700,0.9,700,1.0,33.87,33.87,1.376,2.129
31.67,337.1,6300,75000,19.54,27.02,2.09,0.6,700,0.9,700,1.0,31.67,31.67,1.415,2.146
39.5,206.84,6300,75000,23.25,24.57,2.54,0.6,700,0.9,700,1.0,39.5,39.5,1.686,2.424
37.08,348.44,6300,75000,20.29,24.32,2.8,0.6,700,0.9,700,1.0,37.08,37.08,1.536,2.28
37.17,191.44,6300,75000,18.42,21.27,2.35,0.6,700,0.9,700,1.0,37.17,37.17,1.45462644919086,2.17181694525194
44.63,212.6,6300,75000,18.05,15.26,1.63,0.6,700,0.9,700,1.0,44.63,44.63,1.57257318073573,2.33061864602571
42.46,294.11,6300,75000,18.28,18.37,1.91,0.6,700,0.9,700,1.0,42.46,42.46,1.56049571014867,2.32617399259667
32.82,287.53,6300,75000,22.75,16.42,2.02,0.6,700,0.9,700,1.0,32.82,32.82,1.41503570618752,2.05892021433419
31.99,263.35,6300,75000,21.84,18.82,2.63,0.6,700,0.9,700,1.0,31.99,31.99,1.38879587976142,2.04735032233298
58.99,199.19,6300,75000,23.93,15.49,1.81,0.6,700,0.9,700,1.0,58.99,58.99,2.10522206973296,2.87671164614292
46.71,221.42,6300,75000,16.41,22.75,1.14,0.6,700,0.9,700,1.0,46.71,46.71,1.791,2.483
47.07,282.18,6300,75000,23.29,19.08,1.45,0.6,700,0.9,700,1.0,47.07,47.07,1.859,2.561
56.36,217.22,6300,75000,21.33,21.79,1.05,0.6,700,0.9,700,1.0,56.36,56.36,2.109,2.846
46.68,182.23,6300,75000,20.76,25.05,2.58,0.6,700,0.9,700,1.0,46.68,46.68,1.874,2.605
38.59,267.8,6300,75000,20.2,22.27,1.57,0.6,700,0.9,700,1.0,38.59,38.59,1.612,2.294
38.65,190.77,6300,75000,24.76,28.03,1.38,0.6,700,0.9,700,1.0,38.65,38.65,1.801,2.491
35.07,247.37,6300,75000,21.65,17.62,2.6,0.6,700,0.9,700,1.0,35.07,35.07,1.477,2.12
42.17,294.86,6300,75000,16.25,23.21,1.88,0.6,700,0.9,700,1.0,42.17,42.17,1.663,2.367
36.42,213.17,6300,75000,19.91,22.22,1.43,0.6,700,0.9,700,1.0,36.42,36.42,1.548,2.233
31.38,296.8,6300,75000,16.37,27.87,2.09,0.6,700,0.9,700,1.0,31.38,31.38,1.423,2.105
45.91,277.57,6300,75000,22.68,15.08,1.8,0.6,700,0.9,700,1.0,45.91,45.91,1.753,2.45
29.99,326.09,6300,75000,17.06,25.32,2.51,0.6,700,0.9,700,1.0,29.99,29.99,1.406,2.009
62.56,346.14,6300,75000,19.32,26.19,1.36,0.6,700,0.9,700,1.0,62.56,62.56,2.426,3.059
63.53,294.43,6300,75000,24.3,25.69,1.12,0.6,700,0.9,700,1.0,63.53,63.53,2.515,3.163
41.66,276.2,6300,75000,15.1,28.33,1.76,0.6,700,0.9,700,1.0,41.66,41.66,1.811,2.415
67.51,316.44,6300,75000,19.49,19.44,1.17,0.6,700,0.9,700,1.0,67.51,67.51,2.417,3.104
59.02,292.01,6300,75000,24.77,28.28,1.56,0.6,700,0.9,700,1.0,59.02,59.02,2.45,3.039
26.11,258.69,6300,75000,18.31,23.11,2.39,0.6,700,0.9,700,1.0,26.11,26.11,1.269,1.865
37.18,250.84,6300,75000,21.67,19.3,1.11,0.6,700,0.9,700,1.0,37.18,37.18,1.607,2.223
34.46,281.07,6300,75000,14.84,16.64,2.74,0.6,700,0.9,700,1.0,34.46,34.46,1.359,1.975
41.09,217.53,6300,75000,24.96,27.26,1.15,0.6,700,0.9,700,1.0,41.09,41.09,1.915,2.548
28.29,325.5,6300,75000,22.59,26.47,2.3,0.6,700,0.9,700,1.0,28.29,28.29,1.469,2.075
33.14,230.23,6300,75000,17.25,23.12,2.36,0.6,700,0.9,700,1.0,33.14,33.14,1.474,2.079
50.39,197.97,6300,75000,17.71,20.51,1.9,0.6,700,0.9,700,1.0,50.39,50.39,1.928,2.579
34.01,349.76,6300,75000,23.92,15.49,1.3,0.6,700,0.9,700,1.0,34.01,34.01,1.527,2.109
38.2,220.02,6300,75000,21.61,23.25,2.2,0.6,700,0.9,700,1.0,38.2,38.2,1.689,2.326
48.23,298.03,6300,75000,17.47,17.33,2.12,0.6,700,0.9,700,1.0,48.23,48.23,1.802,2.439
